"","X","Player","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Tm","fix"
"1",1,"Trae Young",23,76,76,2652,711,1544,0.46,233,610,0.382,478,934,0.512,0.536,500,553,0.904,50,234,284,737,72,7,303,128,2155,"ATL","traeyoung"
"2",2,"Kevin Huerter",23,74,60,2188,345,760,0.454,160,411,0.389,185,349,0.53,0.559,42,52,0.808,32,222,254,203,55,26,91,185,892,"ATL","kevinhuerter"
"3",3,"Clint Capela",27,74,73,2042,370,604,0.613,0,1,0,370,603,0.614,0.613,80,169,0.473,279,598,877,92,55,93,44,166,820,"ATL","clintcapela"
"4",4,"Bogdan Bogdanović",29,63,27,1848,342,794,0.431,169,459,0.368,173,335,0.516,0.537,97,115,0.843,29,221,250,194,68,14,70,132,950,"ATL","bogdanbogdanovi"
"5",5,"Danilo Gallinari",33,66,18,1672,259,597,0.434,112,294,0.381,147,303,0.485,0.528,141,156,0.904,35,273,308,101,28,12,38,93,771,"ATL","danilogallinari"
"6",6,"John Collins",24,54,53,1663,339,644,0.526,64,176,0.364,275,468,0.588,0.576,134,169,0.793,93,329,422,98,33,56,60,164,876,"ATL","johncollins"
"7",7,"De'Andre Hunter",24,53,52,1577,254,575,0.442,74,195,0.379,180,380,0.474,0.506,127,166,0.765,26,150,176,68,36,21,69,155,709,"ATL","deandrehunter"
"8",8,"Delon Wright",29,77,8,1452,122,269,0.454,44,116,0.379,78,153,0.51,0.535,54,63,0.857,50,170,220,188,93,19,45,56,342,"ATL","delonwright"
"9",9,"Onyeka Okongwu",21,48,6,992,156,226,0.69,0,0,NA,156,226,0.69,0.69,80,110,0.727,115,168,283,53,31,60,44,149,392,"ATL","onyekaokongwu"
"10",10,"Lou Williams",35,56,0,799,125,320,0.391,37,102,0.363,88,218,0.404,0.448,67,78,0.859,16,71,87,105,28,3,43,48,354,"ATL","louwilliams"
"11",12,"Timothé Luwawu-Cabarrot",26,52,18,685,74,186,0.398,44,122,0.361,30,64,0.469,0.516,35,41,0.854,17,65,82,40,18,6,20,76,227,"ATL","timothluwawucabarrot"
"12",13,"Gorgui Dieng",32,44,3,371,53,112,0.473,29,68,0.426,24,44,0.545,0.603,19,26,0.731,32,89,121,34,11,13,20,52,154,"ATL","gorguidieng"
"13",14,"Skylar Mays",24,28,5,220,32,64,0.5,8,25,0.32,24,39,0.615,0.563,8,9,0.889,5,20,25,17,7,0,10,9,80,"ATL","skylarmays"
"14",15,"Solomon Hill",30,13,1,139,3,20,0.15,2,13,0.154,1,7,0.143,0.2,0,0,NA,6,17,23,12,4,2,1,16,8,"ATL","solomonhill"
